country;sensor_id;sensor_name
Ghana;6;pm10 µg/m³
Ghana;5;pm25 µg/m³
Ghana;7;pm10 µg/m³
Ghana;8;pm25 µg/m³
Ghana;10;pm10 µg/m³
Ghana;9;pm25 µg/m³
Ghana;11;pm10 µg/m³
Ghana;12;pm25 µg/m³
Ghana;14;pm10 µg/m³
Ghana;13;pm25 µg/m³
Ghana;16;pm10 µg/m³
Ghana;15;pm25 µg/m³
Ghana;17;pm10 µg/m³
Ghana;18;pm25 µg/m³
Ghana;20;pm10 µg/m³
Ghana;19;pm25 µg/m³
Ghana;22;pm10 µg/m³
Ghana;21;pm25 µg/m³
India;23;pm25 µg/m³
India;13866;no2 µg/m³
India;24;o3 µg/m³
India;13864;pm25 µg/m³
Argentina;25;pm25 µg/m³
India;27;co µg/m³
India;28;no2 µg/m³
India;29;o3 µg/m³
India;26;pm10 µg/m³
India;30;pm25 µg/m³
India;33;co µg/m³
India;32;no2 µg/m³
India;31;pm10 µg/m³
India;34;pm25 µg/m³
India;392;co µg/m³
India;12234782;co ppb
India;12234783;no ppb
India;12234784;no2 ppb
India;36;no2 µg/m³
India;394;o3 µg/m³
India;12234785;o3 µg/m³
India;12234786;pm10 µg/m³
India;399;pm10 µg/m³
India;12234787;pm25 µg/m³
India;35;pm25 µg/m³
India;12234788;relativehumidity %
India;12234789;so2 ppb
India;393;so2 µg/m³
India;12234790;temperature c
Vietnam;37;pm25 µg/m³
Mongolia;5136;co µg/m³
Mongolia;5137;no2 µg/m³
Mongolia;38;o3 µg/m³
Mongolia;5138;pm10 µg/m³
Mongolia;5139;pm25 µg/m³
Mongolia;5140;so2 µg/m³
China;40;pm25 µg/m³
Bangladesh;41;pm25 µg/m³
Mongolia;68;co µg/m³
Mongolia;5177;no2 µg/m³
Mongolia;5178;o3 µg/m³
Mongolia;5183;pm10 µg/m³
Mongolia;42;pm25 µg/m³
Mongolia;5186;so2 µg/m³
Singapore;43;pm25 µg/m³
Chile;1045;co µg/m³
Chile;1046;no2 µg/m³
Chile;114;o3 µg/m³
Chile;1047;pm10 µg/m³
Chile;1044;pm25 µg/m³
Chile;44;so2 µg/m³
Chile;45;pm10 µg/m³
Chile;35374;pm25 µg/m³
Chile;601;so2 µg/m³
Chile;1410;co µg/m³
Chile;124;no2 µg/m³
Chile;46;o3 µg/m³
Chile;28735;pm10 µg/m³
Chile;35661;pm25 µg/m³
Chile;1412;so2 µg/m³
Poland;5009;no2 µg/m³
Poland;5006;o3 µg/m³
Poland;5003;pm10 µg/m³
Poland;47;pm25 µg/m³
