date;units;value;sensor_id;parameter_id;parameter_name
2016-11-01;µg/m³;11.3;13866;5;no2
2016-11-02;µg/m³;8.71;13866;5;no2
2016-11-03;µg/m³;9.2;13866;5;no2
2016-11-04;µg/m³;125.0;13866;5;no2
2016-11-05;µg/m³;110.0;13866;5;no2
2016-11-06;µg/m³;107.0;13866;5;no2
2016-11-07;µg/m³;86.7;13866;5;no2
2016-11-08;µg/m³;119.0;13866;5;no2
2016-11-09;µg/m³;131.0;13866;5;no2
2016-11-10;µg/m³;375.0;13866;5;no2
2016-11-11;µg/m³;309.0;13866;5;no2
2016-11-12;µg/m³;241.0;13866;5;no2
2016-11-13;µg/m³;249.0;13866;5;no2
2016-11-14;µg/m³;207.0;13866;5;no2
2016-11-15;µg/m³;195.0;13866;5;no2
2016-11-16;µg/m³;158.0;13866;5;no2
2016-11-17;µg/m³;180.0;13866;5;no2
2016-11-18;µg/m³;206.0;13866;5;no2
2016-11-19;µg/m³;296.0;13866;5;no2
2016-11-20;µg/m³;240.0;13866;5;no2
2016-11-21;µg/m³;193.0;13866;5;no2
2016-11-22;µg/m³;194.0;13866;5;no2
2016-11-23;µg/m³;210.0;13866;5;no2
2016-11-24;µg/m³;127.0;13866;5;no2
2016-11-25;µg/m³;106.0;13866;5;no2
2016-11-26;µg/m³;125.0;13866;5;no2
2016-11-27;µg/m³;158.0;13866;5;no2
2016-11-28;µg/m³;232.0;13866;5;no2
2016-11-29;µg/m³;208.0;13866;5;no2
2016-11-30;µg/m³;216.0;13866;5;no2
2016-12-01;µg/m³;196.0;13866;5;no2
2016-12-02;µg/m³;185.0;13866;5;no2
2016-12-03;µg/m³;178.0;13866;5;no2
2016-12-04;µg/m³;99.0;13866;5;no2
2016-12-05;µg/m³;0.0;13866;5;no2
2016-12-06;µg/m³;0.193;13866;5;no2
2016-12-07;µg/m³;0.316;13866;5;no2
2016-12-08;µg/m³;25.8;13866;5;no2
2016-12-09;µg/m³;60.2;13866;5;no2
2016-12-10;µg/m³;22.1;13866;5;no2
2016-12-11;µg/m³;25.6;13866;5;no2
2016-12-12;µg/m³;30.8;13866;5;no2
2016-12-13;µg/m³;26.9;13866;5;no2
2016-12-14;µg/m³;24.8;13866;5;no2
2016-12-15;µg/m³;26.8;13866;5;no2
2016-12-16;µg/m³;25.4;13866;5;no2
2016-12-17;µg/m³;25.8;13866;5;no2
2016-12-18;µg/m³;26.6;13866;5;no2
2016-12-19;µg/m³;25.1;13866;5;no2
2016-12-20;µg/m³;46.0;13866;5;no2
2016-12-21;µg/m³;25.3;13866;5;no2
2016-12-22;µg/m³;17.2;13866;5;no2
2017-02-16;µg/m³;31.7;13866;5;no2
2017-02-18;µg/m³;33.5;13866;5;no2
2017-02-19;µg/m³;31.9;13866;5;no2
2017-02-20;µg/m³;22.8;13866;5;no2
2017-02-21;µg/m³;24.5;13866;5;no2
2017-02-22;µg/m³;18.0;13866;5;no2
2017-02-23;µg/m³;17.0;13866;5;no2
2017-02-24;µg/m³;17.5;13866;5;no2
2017-02-25;µg/m³;18.3;13866;5;no2
2017-02-26;µg/m³;19.4;13866;5;no2
2017-02-27;µg/m³;23.1;13866;5;no2
2017-02-28;µg/m³;23.7;13866;5;no2
2017-03-01;µg/m³;19.8;13866;5;no2
2017-03-02;µg/m³;17.6;13866;5;no2
2017-03-03;µg/m³;17.2;13866;5;no2
2017-03-04;µg/m³;17.4;13866;5;no2
2017-03-05;µg/m³;18.0;13866;5;no2
2017-03-06;µg/m³;19.5;13866;5;no2
2017-03-07;µg/m³;17.0;13866;5;no2
2017-03-08;µg/m³;18.9;13866;5;no2
2017-03-09;µg/m³;19.2;13866;5;no2
2017-03-10;µg/m³;17.2;13866;5;no2
2017-03-11;µg/m³;17.7;13866;5;no2
2017-03-12;µg/m³;16.6;13866;5;no2
2017-03-13;µg/m³;17.6;13866;5;no2
2017-03-14;µg/m³;18.6;13866;5;no2
2017-03-15;µg/m³;19.9;13866;5;no2
2017-03-16;µg/m³;17.8;13866;5;no2
2017-03-17;µg/m³;18.3;13866;5;no2
2017-03-18;µg/m³;20.0;13866;5;no2
2017-03-19;µg/m³;18.2;13866;5;no2
2017-03-20;µg/m³;18.6;13866;5;no2
2017-03-21;µg/m³;18.9;13866;5;no2
2017-03-22;µg/m³;19.8;13866;5;no2
2017-03-23;µg/m³;18.6;13866;5;no2
2017-03-24;µg/m³;41.9;13866;5;no2
2017-03-25;µg/m³;42.6;13866;5;no2
